,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
60,Bioinformatics Data Scientist/Analyst,https://www.linkedin.com/jobs/view/bioinformatics-data-scientist-analyst-at-medasource-3392172208?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=S5mf%2Bqq%2FyLb620bDYnoaFg%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,Not Applicable,Contract,"Science, Research, and Analyst","Research Services, Biotechnology Research, and Pharmaceutical Manufacturing"
61,ML Engineer Internship - Social Impact Evaluations for Generative Models,https://www.linkedin.com/jobs/view/ml-engineer-internship-social-impact-evaluations-for-generative-models-at-hugging-face-3392480310?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=ZTdxoHkd5zyLHi%2F2cwOvFA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,"Brooklyn, NY",Internship,Internship,Engineering and Information Technology,Software Development
62,Bioinformatics Associate,https://www.linkedin.com/jobs/view/bioinformatics-associate-at-dark-horse-talent-3393388516?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=73odDqDPmyRf2isuI%2FayKg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,Greater Boston,Associate,Full-time,Science and Research,"Biotechnology Research, Hospitals and Health Care, and Pharmaceutical Manufacturing"
63,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-dezign-concepts-3390613195?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=hzLlxQKVUuIavSc5at%2Be2A%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,"Virginia, United States",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
64,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384153830?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=wbLobAYSV2WPDW2r%2BCJ9SQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,"California, United States",Entry level,Full-time,Engineering and Information Technology,Internet Publishing
65,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-gsa-3394145053?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=dF2mprdDyLRU%2FZXfUZ%2B5vg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,"Customer Service, Supply Chain, and General Business",Government Relations Services and Government Administration
66,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-big-fish-games-3385229501?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=j6RBKgQbtkaWav1s3ZwIgg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,United States,Entry level,Full-time,Engineering and Information Technology,Computer Games
67,Data Scientist Internship - OR (US),https://www.linkedin.com/jobs/view/data-scientist-internship-or-us-at-asurion-3387836872?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=vslRfPcTIVgunUIr0BxUmA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,"Nashville, TN",Not Applicable,Full-time,Other,Insurance
68,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-cerberus-capital-management-3387842113?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=RMqU7qT8%2Bn1%2BotMKh6gZYw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,"New York, NY",Associate,Full-time,Engineering and Information Technology,Venture Capital and Private Equity Principals and Investment Management
69,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-livedata-inc-3393176713?refId=wTRelynqTeToSYTlLzv8Qw%3D%3D&trackingId=P6soQQoIbz4%2B%2BDK6IQaJVA%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,"Boston, MA",Associate,Full-time,Engineering and Information Technology,"Medical Equipment Manufacturing, Software Development, and Hospitals and Health Care"
